imb,NCL,NCL,NCL,NCL,NCL,NCL,NCL,NCL,NCL,NCL,NCL,NCL,NCL,NCL,NCL,NCL
clf,dt,dt,lr,lr,nb,nb,svm,svm,knn,knn,rf,rf,BagNB,BagNB,BagDT,BagDT
metric,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score,matthews_corrcoef,pr_rec_score
activemq-5.8.0.csv,,,,,,,,,,,,,0.290179086109431,0.39545307455103734,0.26676644944208683,0.31857657875284306
activemq-5.2.0.csv,,,,,,,,,,,,,0.3920552433486684,0.5468831386160695,0.3649375564704772,0.4487422330665714
jruby-1.4.0.csv,,,,,,,,,,,,,0.4367970864974911,0.6096833850738961,0.42476554563840246,0.5792320494954523
hive-0.12.0.csv,,,,,,,,,,,,,0.15980085651400375,0.1886671243225073,0.08239685568811812,0.16959794634904324
groovy-1_6_BETA_2.csv,,,,,,,,,,,,,0.23226100451596587,0.35625732933141285,0.399989165707099,0.4369190091827512
groovy-1_5_7.csv,,,,,,,,,,,,,0.2168836589480053,0.43309187256997744,0.3600652898558566,0.34588304919824936
hbase-0.95.0.csv,,,,,,,,,,,,,0.2639589201382798,0.4684322763935721,0.20398449805068058,0.4253944155885082
wicket-1.3.0-beta2.csv,,,,,,,,,,,,,0.30830208265823345,0.40984457883999215,0.27611028765702217,0.2545511094934749
camel-2.11.0.csv,,,,,,,,,,,,,0.1821565746635382,0.23611630592047733,0.20970192781162256,0.23013711054878866
derby-10.2.1.6.csv,,,,,,,,,,,,,0.4453959648833427,0.6863432472056976,0.2609225307842743,0.6575618709928702
hbase-0.94.0.csv,,,,,,,,,,,,,0.39084764448175513,0.5277818377520525,0.29309411673854163,0.5199144201229353
jruby-1.7.0.preview1.csv,,,,,,,,,,,,,0.30221435870963526,0.4283622442212199,0.34179134842791464,0.32829600653478896
jruby-1.5.0.csv,,,,,,,,,,,,,0.33882663082853226,0.5161421551114449,0.3403619543297476,0.40486978669331347
groovy-1_6_BETA_1.csv,,,,,,,,,,,,,0.2758293627623605,0.3936523203116515,0.47171179995348933,0.46068866474191256
camel-2.10.0.csv,,,,,,,,,,,,,0.25129034037179687,0.35038675183841594,0.23005482477751862,0.1927444270141683
wicket-1.3.0-incubating-beta-1.csv,,,,,,,,,,,,,0.3112508053895283,0.44946411901886296,0.30806280460413393,0.24967189893690037
activemq-5.0.0.csv,,,,,,,,,,,,,0.44322789904456716,0.5854160266145221,0.25522148359900865,0.5388785236394469
lucene-2.9.0.csv,,,,,,,,,,,,,0.33986811505669545,0.473819057898117,0.34801560954223565,0.4152390474472922
hive-0.9.0.csv,,,,,,,,,,,,,0.4640460577345088,0.6081882577043849,0.2735822732268435,0.5504658864255279
lucene-2.3.0.csv,,,,,,,,,,,,,0.40952985134517467,0.583556650235326,0.5665315701077485,0.7226638946287568
camel-2.9.0.csv,,,,,,,,,,,,,0.23736279654716058,0.3506025153829011,0.24693028936549338,0.2123408599690825
derby-10.5.1.1.csv,,,,,,,,,,,,,0.3856763548813038,0.5058530677984361,0.3055555758583867,0.4704423696623848
lucene-3.1.csv,,,,,,,,,,,,,0.17993122806256218,0.25130966314209663,0.20406698020771824,0.15754830523725608
derby-10.3.1.4.csv,,,,,,,,,,,,,0.39802885359858137,0.6398895282333746,0.24293766058229704,0.6012117290223197
wicket-1.5.3.csv,,,,,,,,,,,,,0.21632372659624904,0.30159958902291095,0.1441378832967475,0.15949611151576593
lucene-3.0.0.csv,,,,,,,,,,,,,0.30261771723121694,0.3021222060925179,0.2748186036907479,0.3246554828867497
activemq-5.3.0.csv,,,,,,,,,,,,,0.334245736273049,0.4552737267874455,0.31934114866826063,0.46596440089882984
hbase-0.95.2.csv,,,,,,,,,,,,,0.30971157835759333,0.5128227072698136,0.20917024278041665,0.4697346249597653
jruby-1.1.csv,,,,,,,,,,,,,0.3778465844595213,0.6152104895272933,0.4444416053854397,0.5241457990234697
hive-0.10.0.csv,,,,,,,,,,,,,0.4079218002371133,0.4642529975364839,0.1929827625103912,0.3453774022401247
activemq-5.1.0.csv,,,,,,,,,,,,,0.31678491442674517,0.4279576853202557,0.3307219712420017,0.3703684933705604
camel-1.4.0.csv,,,,,,,,,,,,,0.32386425621751996,0.5121797636137926,0.3021641971937571,0.4448154879255208
