,size,IR,noise,#bug_n
activemq-5.8.0.csv,3420.0,15.847290640394089,0.05760233918128655,203.0
groovy-1_6_BETA_1.csv,821.0,6.017094017094017,0.1278928136419001,117.0
activemq-5.3.0.csv,2367.0,15.669014084507042,0.09378960709759189,142.0
wicket-1.3.0-incubating-beta-1.csv,1672.0,4.805555555555555,0.16447368421052633,288.0
jruby-1.1.csv,731.0,3.540372670807453,0.17510259917920656,161.0
jruby-1.4.0.csv,978.0,3.89,0.1901840490797546,200.0
lucene-2.3.0.csv,805.0,4.03125,0.20372670807453416,160.0
hbase-0.95.2.csv,1834.0,15.087719298245615,0.2600872410032715,114.0
lucene-3.0.0.csv,1337.0,6.036842105263158,0.18474195961106957,190.0
camel-2.9.0.csv,7120.0,34.6,0.04396067415730337,200.0
wicket-1.5.3.csv,2578.0,26.72043010752688,0.0643910007757952,93.0
lucene-3.1.csv,2806.0,7.477341389728097,0.11974340698503208,331.0
groovy-1_6_BETA_2.csv,884.0,7.58252427184466,0.09615384615384616,103.0
activemq-5.2.0.csv,2040.0,12.246753246753247,0.11323529411764706,154.0
groovy-1_5_7.csv,757.0,8.4625,0.0845442536327609,80.0
hbase-0.95.0.csv,1669.0,17.34065934065934,0.23367285799880166,91.0
camel-2.11.0.csv,8846.0,43.23,0.023513452407867962,200.0
jruby-1.7.0.preview1.csv,1614.0,8.901840490797547,0.09913258983890955,163.0
hive-0.10.0.csv,1560.0,29.0,0.12564102564102564,52.0
camel-2.10.0.csv,7914.0,24.44694533762058,0.05294414960828911,311.0
derby-10.2.1.6.csv,1963.0,9.905555555555555,0.2898624554253693,180.0
jruby-1.5.0.csv,1131.0,3.097826086956522,0.21750663129973474,276.0
derby-10.3.1.4.csv,2206.0,13.050955414012739,0.2665457842248413,157.0
lucene-2.9.0.csv,1368.0,3.920863309352518,0.22587719298245615,278.0
hbase-0.94.0.csv,1059.0,14.347826086956522,0.20679886685552407,69.0
camel-1.4.0.csv,1515.0,3.1735537190082646,0.2811881188118812,363.0
activemq-5.1.0.csv,1970.0,13.172661870503598,0.08274111675126904,139.0
activemq-5.0.0.csv,1884.0,21.975609756097562,0.13853503184713375,82.0
derby-10.5.1.1.csv,2705.0,14.027777777777779,0.12606284658040665,180.0
wicket-1.3.0-beta2.csv,1763.0,4.780327868852459,0.184344866704481,305.0
hive-0.12.0.csv,2662.0,56.869565217391305,0.08677685950413223,46.0
hive-0.9.0.csv,1416.0,25.71698113207547,0.17937853107344634,53.0
